player_id,team_id,first_name,last_name,birth_date,height,weight,position,draft_year,season_exp
1642402,1610612750,Enrique,Freeman,2000-07-29,79,220.0,F,2024,1.0
1642377,1610612763,Jaylen,Wells,2003-08-26,80,,F,2024,1.0
1642367,1610612761,Jonathan,Mogbo,2001-10-29,81,225.0,F,2024,1.0
1642366,1610612744,Quinten,Post,2000-03-21,84,238.0,C,2024,1.0
1642365,1610612737,Nikola,Đurišić,2004-02-23,80,214.0,G,2024,
1642359,1610612752,Pacôme,Dadiet,2005-07-27,80,210.0,F,2024,1.0
1642358,1610612764,AJ,Johnson,2004-12-01,77,160.0,G,2024,1.0
1642355,1610612747,Bronny,James,2004-10-06,75,210.0,G,2024,1.0
1642354,1610612766,KJ,Simpson,2002-08-08,72,189.0,G,2024,1.0
1642353,1610612746,Cam,Christie,2005-07-24,78,190.0,G,2024,1.0
1642349,1610612760,Ajay,Mitchell,2002-06-25,77,190.0,G,2024,1.0
1642347,1610612761,Jamal,Shead,2002-07-24,73,200.0,G,2024,1.0
1642346,1610612756,Ryan,Dunn,2003-01-07,80,216.0,F,2024,1.0
1642345,1610612756,Oso,Ighodaro,2002-07-14,84,235.0,F,2024,1.0
1642285,1610612763,Cam,Spencer,2000-04-06,76,205.0,G,2024,1.0
1642281,1610612739,Jaylon,Tyson,2002-12-02,78,215.0,G-F,2024,1.0
1642279,1610612761,Ulrich,Chomche,2005-12-30,83,235.0,C,2024,1.0
1642278,1610612752,Tyler,Kolek,2001-03-27,75,195.0,G,2024,1.0
1642277,1610612754,Johnny,Furphy,2004-12-08,81,200.0,G,2024,1.0
1642276,1610612748,Kel'el,Ware,2004-04-20,84,230.0,C,2024,1.0
1642275,1610612766,Tidjane,Salaün,2005-08-10,80,207.0,F,2024,1.0
1642274,1610612740,Yves,Missi,2004-05-14,83,235.0,C,2024,1.0
1642273,1610612764,Kyshawn,George,2003-12-12,80,200.0,F,2024,1.0
1642272,1610612755,Jared,McCain,2004-02-20,75,195.0,G,2024,1.0
1642271,1610612762,Kyle,Filipowski,2003-11-07,83,250.0,C,2024,1.0
1642270,1610612757,Donovan,Clingan,2004-02-23,86,280.0,C,2024,1.0
1642269,1610612758,Devin,Carter,2002-03-18,74,195.0,G,2024,1.0
1642268,1610612762,Isaiah,Collier,2004-10-08,75,210.0,G,2024,1.0
1642267,1610612764,Bub,Carrington,2005-07-21,76,190.0,G,2024,1.0
1642266,1610612761,Ja'Kobe,Walter,2004-09-04,77,180.0,G,2024,1.0
1642265,1610612750,Rob,Dillingham,2005-01-04,75,175.0,G,2024,1.0
1642264,1610612759,Stephon,Castle,2004-11-01,78,215.0,G,2024,1.0
1642263,1610612745,Reed,Sheppard,2004-06-24,74,185.0,G,2024,1.0
1642262,1610612762,Cody,Williams,2004-11-20,79,190.0,F,2024,1.0
1642261,1610612747,Dalton,Knecht,2001-04-19,78,215.0,F,2024,1.0
1642260,1610612760,Nikola,Topić,2005-08-10,78,200.0,G,2024,
1642259,1610612764,Alex,Sarr,2005-04-26,84,205.0,C,2024,1.0
1642258,1610612737,Zaccharie,Risacher,2005-04-08,80,200.0,F,2024,1.0
1641890,1610612749,Tyler,Smith,2004-11-02,81,224.0,F,2024,1.0
1641842,1610612765,Ronald,Holland II,2005-07-07,80,206.0,F,2024,1.0
1641824,1610612741,Matas,Buzelis,2004-10-13,82,209.0,F,2024,1.0
1641817,1610612752,Anton,Watson,2000-10-06,80,225.0,F,2024,1.0
1641816,1610612743,Hunter,Tyson,2000-06-13,80,215.0,F,2023,2.0
1641810,1610612766,Antonio,Reeves,2000-11-20,77,205.0,G,2024,1.0
1641803,1610612750,Tristen,Newton,2001-04-26,77,190.0,G,2024,1.0
1641796,1610612748,Pelle,Larsson,2001-02-23,77,215.0,G,2024,1.0
1641794,1610612764,Dillon,Jones,2001-10-29,77,235.0,F,2024,1.0
1641783,1610612753,Tristan,da Silva,2001-05-15,80,217.0,F,2024,1.0
1641775,1610612738,Jordan,Walsh,2004-03-03,78,205.0,G,2023,2.0
1641774,1610612764,Tristan,Vukcevic,2003-03-11,84,220.0,F,2023,2.0
1641771,1610612754,Jalen,Slawson,1999-10-22,79,215.0,F,2023,1.0
1641767,1610612754,Ben,Sheppard,2001-07-16,78,190.0,G,2023,2.0
1641765,1610612763,Olivier-Maxence,Prosper,2002-07-03,79,230.0,F,2023,2.0
1641764,1610612744,Brandin,Podziemski,2003-02-25,76,205.0,G,2023,2.0
1641763,1610612741,Julian,Phillips,2003-11-05,80,198.0,F,2023,2.0
1641757,1610612746,Jordan,Miller,2000-01-23,77,194.0,G,2023,2.0
1641755,1610612752,Kevin,McCullar Jr.,2001-03-15,78,210.0,G,2024,1.0
1641754,1610612746,Seth,Lundy,2000-04-02,76,220.0,G-F,2023,1.0
1641753,1610612749,Chris,Livingston,2003-10-15,78,220.0,F,2023,2.0
1641752,1610612765,Bobi,Klintman,2003-03-06,81,225.0,F,2024,1.0
1641748,1610612749,Andre,Jackson Jr.,2001-11-13,78,209.0,G,2023,2.0
1641747,1610612743,DaRon,Holmes II,2002-08-15,82,225.0,F,2024,
1641744,1610612763,Zach,Edey,2002-05-14,88,305.0,C,2024,1.0
1641740,1610612750,Jaylen,Clark,2001-10-13,76,205.0,G,2023,1.0
1641739,1610612757,Toumani,Camara,2000-05-08,79,229.0,F,2023,2.0
1641738,1610612746,Kobe,Brown,2000-01-01,79,250.0,F,2023,2.0
1641737,1610612755,Adem,Bona,2003-03-28,82,235.0,F,2024,1.0
1641734,1610612739,Emoni,Bates,2004-01-28,80,202.0,F,2023,2.0
1641733,1610612766,Nick,Smith Jr.,2004-04-18,74,185.0,G,2023,2.0
1641732,1610612765,Colby,Jones,2002-05-28,78,207.0,G,2023,2.0
1641731,1610612764,Bilal,Coulibaly,2004-07-26,80,195.0,G,2023,2.0
1641730,1610612751,Noah,Clowney,2004-07-14,81,210.0,F-C,2023,2.0
1641729,1610612762,Brice,Sensabaugh,2003-10-30,77,235.0,F,2023,2.0
1641727,1610612751,Dariq,Whitehead,2004-08-01,78,220.0,G-F,2023,2.0
1641726,1610612742,Dereck,Lively II,2004-02-12,85,230.0,C,2023,2.0
1641724,1610612753,Jett,Howard,2003-09-14,78,215.0,G,2023,2.0
1641723,1610612751,Kobe,Bufkin,2003-09-21,76,195.0,G,2023,2.0
1641722,1610612740,Jordan,Hawkins,2002-04-29,77,190.0,G,2023,2.0
1641720,1610612755,Jalen,Hood-Schifino,2003-06-19,77,210.0,G,2023,2.0
1641718,1610612762,Keyonte,George,2003-11-08,76,185.0,G,2023,2.0
1641717,1610612760,Cason,Wallace,2003-11-07,75,195.0,G,2023,2.0
1641716,1610612754,Jarace,Walker,2003-09-04,79,235.0,F,2023,2.0
1641715,1610612764,Cam,Whitmore,2004-07-08,79,230.0,F,2023,2.0
1641713,1610612763,GG,Jackson,2004-12-17,81,210.0,F,2023,2.0
1641712,1610612757,Rayan,Rupert,2004-05-31,78,195.0,G-F,2023,2.0
1641711,1610612761,Gradey,Dick,2003-11-20,78,200.0,G-F,2023,2.0
1641710,1610612753,Anthony,Black,2004-01-20,79,200.0,G,2023,2.0
1641709,1610612765,Ausar,Thompson,2003-01-30,78,205.0,G-F,2023,2.0
1641708,1610612745,Amen,Thompson,2003-01-30,79,200.0,G-F,2023,2.0
1641707,1610612762,Taylor,Hendricks,2003-11-22,81,215.0,F,2023,2.0
1641706,1610612766,Brandon,Miller,2002-11-22,79,200.0,F,2023,2.0
1641705,1610612759,Victor,Wembanyama,2004-01-04,87,235.0,F-C,2023,2.0
1631321,1610612757,Sidy,Cissoko,2004-04-02,78,200.0,G,2023,2.0
1631255,1610612740,Karlo,Matković,2001-03-30,82,231.0,F-C,2022,1.0
1631248,1610612738,Baylor,Scheierman,2000-09-26,78,205.0,G,2024,1.0
1631247,1610612739,Luke,Travers,2001-09-03,79,207.0,F,2022,1.0
1631246,1610612763,Vince,Williams Jr.,2000-08-30,76,205.0,G,2022,3.0
1631243,1610612737,Mouhamed,Gueye,2002-11-09,82,210.0,F,2023,2.0
1631223,1610612761,David,Roddy,2001-03-27,76,255.0,F,2022,3.0
1631222,1610612747,Jake,LaRavia,2001-11-03,79,235.0,F,2022,3.0
1631218,1610612744,Trayce,Jackson-Davis,2000-02-22,81,245.0,F,2023,2.0
1631217,1610612766,Moussa,Diabaté,2002-01-21,81,210.0,F,2022,3.0
1631216,1610612737,Caleb,Houstan,2003-01-09,80,205.0,G,2022,3.0
1631213,1610612751,Tyrese,Martin,1999-03-07,78,215.0,F,2022,2.0
1631212,1610612743,Peyton,Watson,2002-09-11,79,200.0,G,2022,3.0
1631211,1610612748,Trevor,Keels,2003-08-26,77,215.0,G,2022,1.0
1631207,1610612741,Dalen,Terry,2002-07-12,79,195.0,F,2022,3.0
1631204,1610612765,Marcus,Sasser,2000-09-21,74,195.0,G,2023,2.0
1631200,1610612757,Kris,Murray,2000-08-19,80,216.0,F,2023,2.0
1631172,1610612760,Ousmane,Dieng,2003-05-21,81,185.0,F,2022,3.0
1631170,1610612748,Jaime,Jaquez Jr.,2001-02-18,78,225.0,G,2023,2.0
1631169,1610612738,Josh,Minott,2002-11-25,80,205.0,F,2022,3.0
1631159,1610612750,Leonard,Miller,2003-11-26,82,220.0,F,2023,2.0
1631157,1610612749,Ryan,Rollins,2002-07-03,75,180.0,G,2022,3.0
1631133,1610612755,Jabari,Walker,2002-07-30,79,237.0,F,2022,3.0
